timestamp,pCut::Motor_Torque,pCut::CTRL_Position_controller::Lag_error,pCut::CTRL_Position_controller::Actual_position,pCut::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Actual_position,pSvolFilm::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Lag_error,pSpintor::VAX_speed
0.00800000,0.46998396,0.00735664,197265235,-7312.77441406,102714455,12895.76367187,1.28461349,2579.99951171
0.01199999,0.51969468,-0.01726031,197265206,-7292.17529296,102714507,13061.86816406,1.25398468,2579.99951171
0.01599999,0.36914423,0.02350521,197265177,-7360.83984375,102714559,13071.93554687,1.20383429,2579.99951171
0.01999999,0.45572748,0.01206302,197265148,-7360.83984375,102714611,13014.05078125,1.27991306,2579.99951171
0.02399999,0.36048951,0.03856194,197265118,-7333.37402343,102714663,12956.16503906,1.29519975,2579.99951171
0.02799999,0.46302866,-0.01110136,197265089,-7350.54003906,102714714,12910.86425781,1.32597947,2579.99951171
0.03199999,0.35690167,0.00744438,197265059,-7302.47460937,102714766,12941.06542968,1.35032629,2579.99951171
0.03599999,0.24387736,0.04137039,197265030,-7309.34130859,102714818,12948.61523437,1.34585261,2579.99951171
0.03999999,0.34182092,0.00489330,197265001,-7316.20751953,102714870,13003.98339843,1.36113739,2579.99951171
0.04399999,0.13255099,0.04503035,197264972,-7285.30859375,102714922,13104.65332031,1.29124736,2579.99951171
0.04799999,0.18006148,0.01040339,197264943,-7250.97656250,102714974,12993.91601562,1.27873909,2579.99951171
0.05199999,0.27740558,-0.02170038,197264914,-7151.41259765,102715026,12946.09863281,1.31013286,2579.99951171
0.05599999,0.06292499,0.02618527,197264885,-7103.34765625,102715078,12883.17968750,1.32566905,2579.99951171
0.05999999,0.18432994,-0.00183987,197264857,-6976.31835937,102715130,12928.48144531,1.29707872,2579.99951171
0.06399999,0.11187484,-0.00961184,197264829,-6935.11962890,102715182,12903.31347656,1.23317241,2579.99951171
0.06799999,0.22531728,-0.03064465,197264802,-6790.92382812,102715234,12988.88281250,1.22618889,2579.99951171
0.07199999,0.16316033,-0.02558732,197264775,-6718.82617187,102715285,13044.25097656,1.20034754,2579.99951171
0.07599999,0.07825409,0.00269865,197264748,-6564.33105468,102715337,12938.54785156,1.09015524,2579.99951171
0.07999999,0.11648610,-0.00777792,197264722,-6344.60449218,102715389,12817.74511718,1.06884574,2579.99951171
0.08399999,0.05576774,-0.00465035,197264697,-6299.97216796,102715440,12749.79296875,1.03401589,2579.99951171
0.08799999,0.09523610,-0.04072046,197264672,-6080.24560546,102715491,12699.45800781,1.01825475,2579.99951171
0.09199999,0.10165860,-0.02421712,197264649,-5846.78613281,102715542,12644.08984375,0.95877534,2579.99951171
0.09599999,-0.00009821,0.00331449,197264625,-5668.25830078,102715593,12576.13769531,0.97707843,2579.99951171
0.09999999,0.08399287,-0.02833485,197264603,-5434.79882812,102715643,12477.98535156,0.95434606,2579.99951171
0.10399999,0.02758423,-0.01729083,197264582,-5197.90625000,102715693,12475.46875000,0.95040011,2579.99951171
0.10799999,-0.21358622,0.04758548,197264561,-5046.84423828,102715743,12420.09960937,0.84149515,2579.99951171
0.11199999,0.03080075,-0.01905727,197264542,-4679.48876953,102715793,12304.33007812,0.87828052,2579.99951171
0.11599999,-0.00665638,-0.02432346,197264524,-4473.49511718,102715842,12208.69433593,0.83969950,2579.99951171
0.11999999,-0.16603647,0.00219154,197264506,-4298.40087890,102715891,12135.70898437,0.81538712,2579.99951171
0.12399999,-0.94674605,0.25892734,197264490,-3931.04541015,102715939,12045.10644531,0.79430961,2579.99951171
0.12799999,-0.69579237,0.08396863,197264475,-3694.15283203,102715987,11896.61914062,0.74519622,2579.99951171
0.13199999,-1.22001111,0.25812768,197264461,-3144.83642578,102716035,11790.91601562,0.77108532,2579.99951171
0.13599999,-0.47305491,-0.18061161,197264448,-3199.76806640,102716082,11733.03125000,0.71419471,2579.99951171
0.13999999,-0.03157700,-0.23279523,197264437,-2756.88159179,102716129,11655.01171875,0.64267784,2579.99951171
0.14399999,-0.21420541,-0.14390087,197264426,-2519.98901367,102716175,11604.67675781,0.67086941,2579.99951171
0.14799999,-0.34166809,-0.05236625,197264417,-2235.03100585,102716221,11390.75488281,0.65386265,2579.99951171
0.15199999,-0.18673643,-0.07693910,197264409,-1860.80932617,102716267,11249.81738281,0.60261207,2579.99951171
0.15599998,-0.44011822,0.01288032,197264402,-1589.58435058,102716311,11154.18164062,0.54369837,2579.99951171
0.15999998,-0.26847574,-0.05042457,197264396,-1270.29418945,102716356,11126.49707031,0.50699394,2579.99951171
0.16399998,-0.42011663,-0.01338005,197264392,-1033.40148925,102716399,10869.79003906,0.49380269,2579.99951171
0.16799998,-1.10643839,0.22161531,197264388,-638.58032226,102716442,10766.60351562,0.44923019,2579.99951171
0.17199998,-1.09651267,0.12813949,197264386,-411.98730468,102716485,10660.90039062,0.42827522,2579.99951171
0.17599998,-0.29293894,-0.15044879,197264385,-96.13037109,102716527,10439.42773437,0.43122798,2579.99951171
0.17999998,-0.32921987,-0.13601589,197264386,151.06201171,102716569,10426.84375000,0.40017130,2579.99951171
0.18399998,-0.59342366,-0.02337074,197264387,405.12084960,102716610,10152.51953125,0.42480891,2579.99951171
0.18799998,-0.90473932,0.08063077,197264389,666.04614257,102716651,10099.66796875,0.44657397,2579.99951171
0.19199998,-1.24306476,0.17244338,197264392,981.90307617,102716691,9873.16210937,0.44574224,2579.99951171
0.19599998,-1.08941650,0.06640863,197264397,1229.09545898,102716730,9722.15722656,0.50504899,2579.99951171
0.19999998,-0.74133592,-0.07643365,197264402,1469.42138671,102716769,9712.08984375,0.42084828,2579.99951171
0.20399998,-0.69696795,-0.09273529,197264409,1678.84826660,102716807,9430.21582031,0.39603093,2579.99951171
0.20799998,-0.88424509,-0.00610589,197264416,1922.60742187,102716844,9256.56054687,0.49257987,2579.99951171
0.21199998,-0.85531389,-0.00230932,197264424,2190.39916992,102716881,9216.29296875,0.46004432,2579.99951171
0.21599998,-0.88912546,-0.00874948,197264433,2403.25927734,102716918,9067.80566406,0.38153636,2579.99951171
0.21999998,-0.76565486,-0.05665683,197264443,2571.48730468,102716954,8833.74902343,0.39656260,2579.99951171
0.22399998,-0.80497622,-0.03827714,197264454,2698.51684570,102716989,8680.22851562,0.46804866,2579.99951171
0.22799998,-0.90617114,0.00006341,197264465,2887.34423828,102717024,8541.80761718,0.44862559,2579.99951171
0.23199998,-0.87819069,-0.00062513,197264478,3096.77124023,102717058,8373.18554687,0.43485262,2579.99951171
0.23599998,-0.81316894,-0.00652933,197264490,3289.03198242,102717091,8209.59765625,0.48005601,2579.99951171
0.23999998,-0.65104007,-0.04935836,197264504,3426.36108398,102717124,8096.34521484,0.47472986,2579.99951171
0.24399998,-0.64142948,-0.04519653,197264518,3591.15600585,102717156,7957.92431640,0.38397029,2579.99951171
0.24799998,-0.64592391,-0.03773450,197264532,3656.38720703,102717187,7784.26953125,0.40258938,2579.99951171
